Company,Stock Symbol,Transaction Date,Transaction Type,Shares,Share Price ($),Transaction Amount ($)
"Rios, Lawrence and Kelley",oBZN,2023-05-18,Interest,157,136.16,75854.23
Williams-Sanders,oDBJ,2022-10-13,Buy,45,29.59,37586.87
Patterson-Hood,BQkG,2024-09-14,Buy,268,397.69,49020.2
Wright Ltd,YSrr,2023-04-10,Interest,53,438.28,53527.91
Murray LLC,BvaS,2024-07-13,Buy,367,65.64,25944.45
"Johnson, Cole and Myers",XmSQ,2023-02-11,Interest,412,222.1,43100.05
Greer-Young,ybZO,2023-08-17,Dividend,585,277.87,39624.29
Woods Inc,blnQ,2024-03-20,Interest,636,429.54,86752.6
Day PLC,BkEu,2022-11-17,Interest,431,370.84,9078.81
"Lane, Fuller and Miller",HYgC,2023-10-06,Sell,893,316.89,63318.01
Pugh-Stanley,zZho,2022-12-14,Interest,117,256.06,1560.45
"Brown, Mccarthy and Price",nqII,2023-12-15,Buy,630,484.48,4075.77
Flores-Burgess,APpG,2023-02-03,Dividend,811,304.99,89840.18
Watts and Sons,lkxG,2024-02-21,Sell,468,204.58,96932.34
"Cook, Fields and Perez",Gkzd,2023-11-26,Buy,53,15.9,83612.67
Riggs and Sons,JCxw,2024-05-19,Interest,883,126.76,44320.2
"Johnson, Stuart and Callahan",MPDB,2024-02-19,Dividend,210,354.87,41074.64
Stark-Powell,AZKf,2023-12-18,Sell,338,35.57,12402.78
Nguyen Group,ZigN,2024-04-26,Buy,567,46.86,54599.92
Bennett-Briggs,yoqv,2023-11-10,Sell,254,132.95,47479.49
"Mathews, Hernandez and Goodman",GQtu,2023-09-12,Buy,263,29.28,97520.25
Taylor-Davis,oaOD,2023-06-28,Buy,607,476.63,93905.23
Martin-Stephens,bYLq,2023-01-04,Dividend,702,272.86,65046.67
Campbell Ltd,imnF,2024-04-01,Dividend,724,422.56,42612.46
"Johnson, Smith and Long",EDjc,2023-09-22,Dividend,999,413.77,68226.48
"Webb, Harris and Garcia",pvWN,2023-10-09,Buy,600,201.71,65914.89
Horton Group,ejed,2023-10-28,Buy,181,454.82,89133.64
Yu LLC,OBoF,2023-06-05,Sell,261,202.36,92163.24
"Howard, Jones and Snow",qGxG,2023-11-04,Buy,103,181.32,63271.64
Kennedy and Sons,SclT,2024-01-18,Interest,449,403.45,13629.77
Fox-Glenn,hvxZ,2023-07-01,Dividend,501,256.52,30625.81
Johnson-Williams,yRvk,2023-08-13,Dividend,462,356.12,18511.62
Barry-Burke,ghCI,2024-04-02,Interest,744,276.18,63388.05
Hall-Gibson,xPMy,2023-02-08,Sell,322,15.07,83264.19
Keith-Byrd,hyWH,2023-09-28,Buy,333,32.02,85689.7
"Holmes, Kaufman and Dunn",yvKR,2024-05-18,Interest,350,61.24,73558.83
Abbott-Parks,aHie,2023-07-09,Dividend,309,478.52,65466.53
Simon and Sons,LXHk,2024-03-31,Interest,654,407.86,41223.48
Bennett-Lopez,TDrg,2023-11-20,Interest,15,303.68,93621.43
"Mitchell, Bishop and Day",sugj,2023-07-22,Dividend,145,57.7,2022.75
"Schneider, Ibarra and Edwards",jHHe,2024-09-07,Sell,56,493.58,57155.53
Tucker and Sons,yUNa,2024-07-03,Interest,191,170.08,34047.76
Diaz Inc,dwJM,2023-03-28,Dividend,163,368.43,42249.3
"Taylor, Pena and Saunders",RSNX,2024-03-31,Buy,20,36.22,68305.25
Henderson Ltd,jSVt,2024-06-11,Interest,324,123.6,95026.9
Gutierrez Group,icAK,2023-03-01,Buy,435,278.0,64523.23
Garza-Smith,mbPj,2024-08-06,Dividend,869,321.28,98269.38
Richardson and Sons,NFDY,2022-09-29,Sell,539,268.84,53413.57
Brooks Ltd,CTgp,2023-01-18,Sell,95,321.52,4670.61
"Robbins, Stephens and Long",GWyr,2023-12-09,Buy,559,411.93,55425.88
"Moore, Solis and Knapp",LFSr,2023-06-09,Interest,154,7.26,83271.2
"Sweeney, Perry and Rodriguez",sZOc,2023-03-28,Sell,177,436.3,27035.2
Pitts Inc,GsEJ,2023-03-02,Buy,276,13.72,9135.86
Young and Sons,VOoa,2022-09-26,Interest,267,107.4,66405.85
Andrews-Welch,MPzy,2024-04-16,Interest,38,135.99,67212.48
Smith-Williams,neSm,2023-06-29,Buy,58,190.39,80196.49
Cummings-Dudley,wrfG,2024-03-28,Interest,978,117.25,57914.47
Miller-Baker,xKJD,2023-12-13,Dividend,129,394.02,43544.07
Peterson Inc,plfF,2023-11-26,Interest,619,64.31,46715.45
Smith Inc,zGsC,2022-12-10,Sell,730,246.82,7604.57
Pearson PLC,oNVg,2023-09-16,Dividend,507,457.79,43652.73
Gutierrez LLC,xjJw,2024-02-16,Interest,925,127.25,65140.05
"Greene, Montgomery and Brown",grPO,2023-09-04,Sell,344,254.95,50986.04
Cooke-Lee,vAKD,2023-12-13,Interest,528,265.94,76388.67
Butler-Johnson,swrm,2023-03-27,Interest,84,149.93,86367.66
Henry-Williams,oRbC,2023-07-29,Buy,963,66.53,39354.88
"Cruz, Hodges and Sanchez",rfKf,2024-05-05,Sell,999,418.61,8453.92
"Johnson, Mcdonald and Booth",Xhzy,2024-09-16,Interest,652,161.33,26894.86
Johnson LLC,QEjW,2023-07-12,Sell,91,279.53,52381.04
James Inc,DZAT,2023-10-29,Dividend,122,230.64,70147.28
"Hernandez, Johnson and Anderson",gFed,2024-05-23,Sell,790,211.67,51623.52
Avery Ltd,ZmJQ,2022-10-06,Sell,466,193.01,50210.87
Garrett LLC,ZlgQ,2023-03-23,Dividend,823,269.97,56084.79
Wilkerson-Morgan,Krgs,2023-07-20,Interest,885,425.49,86994.55
Hartman-Taylor,lQzy,2022-12-22,Buy,979,233.49,21788.0
Walsh PLC,KoBf,2024-01-19,Sell,442,441.63,59521.58
Morgan-Lopez,xXpQ,2022-10-17,Dividend,765,84.41,86707.89
"Dennis, Bradley and Wong",irBh,2023-06-21,Buy,498,379.15,46963.51
Kim-Griffin,kzDN,2024-05-17,Interest,287,419.66,60784.08
"Barr, Mccann and Smith",oTYx,2024-09-18,Interest,637,110.64,61386.58
Robinson-Thornton,Yegp,2024-05-25,Buy,368,225.22,93184.39
Pearson-Montgomery,hbOX,2024-07-22,Interest,882,284.71,60081.06
Bennett Group,GCoQ,2023-03-21,Sell,621,39.7,71658.05
Bowen Inc,ijXV,2024-05-05,Buy,306,383.56,32433.92
"Smith, Mcfarland and Lopez",rgbv,2024-04-19,Sell,253,259.15,3102.95
Cooley-Williams,dQqq,2023-03-04,Sell,969,81.9,31582.52
"Gentry, Carroll and Smith",hGBk,2023-10-30,Interest,845,373.93,58967.83
"Flores, Nelson and Sharp",cDLE,2024-01-19,Interest,399,440.65,4374.65
Smith-Collins,mkkz,2024-03-21,Buy,405,144.22,47451.28
Flores LLC,PtXm,2024-06-10,Dividend,998,184.08,3549.59
"Peterson, Hood and Mitchell",jfkN,2023-10-29,Interest,46,26.75,4060.01
Wilson PLC,ZwNA,2023-03-09,Sell,925,345.58,19195.88
Brooks Ltd,Dwvc,2023-09-06,Interest,834,410.68,54060.86
Henderson-Sullivan,uCLO,2023-11-09,Dividend,921,440.14,47238.58
"Roberts, Freeman and Robinson",pYvr,2023-09-18,Buy,15,476.22,26151.19
Hendricks Group,XbZA,2023-12-23,Dividend,170,402.26,50634.48
Benitez-Reese,qXOO,2024-06-25,Interest,222,133.66,29549.05
"Paul, Ward and Ramos",lddq,2024-02-19,Interest,556,319.75,84473.49
Cervantes and Sons,eStU,2023-02-21,Sell,901,349.33,97551.02
"Richardson, Brock and Simmons",anpz,2022-11-04,Buy,902,341.91,62234.88
Ward Group,LNKj,2023-08-13,Buy,528,238.74,54501.8
Melton-Lewis,Gxti,2024-09-02,Buy,237,36.28,96744.28
Cain-Henry,RSDH,2023-07-14,Sell,769,345.17,17372.7
Jones-Hudson,DiOl,2024-07-20,Interest,554,189.5,56964.25
Richardson Group,bLsS,2023-10-31,Buy,12,44.05,52636.24
Payne and Sons,ONRE,2022-12-21,Buy,179,43.77,4050.87
"Myers, Nielsen and Fleming",Vref,2024-09-17,Sell,14,416.67,7490.64
Love Inc,ILXd,2023-01-07,Sell,306,35.14,16384.99
"Murphy, Brady and Pineda",ZuzR,2024-09-13,Buy,522,302.12,17864.72
Rodriguez PLC,fHsv,2024-09-12,Dividend,640,29.18,17963.7
Bryant LLC,AFRi,2024-05-16,Buy,474,338.79,31769.15
Cabrera-Peters,mwYn,2024-01-02,Sell,290,195.25,3662.34
Wallace LLC,YKGn,2023-08-03,Interest,971,312.86,44786.3
"Adams, Sullivan and Mcpherson",WNiz,2023-01-16,Buy,897,470.35,96467.53
Vazquez-Patel,iOyS,2022-12-02,Interest,542,39.65,3636.27
"Cook, Patel and Pruitt",OTDV,2023-07-14,Sell,532,67.29,85964.49
Smith-Terry,xeoo,2022-11-18,Interest,41,103.21,80947.92
"Montoya, Anderson and Allen",zwqQ,2023-02-22,Dividend,895,317.06,38699.17
"Spence, Perez and Villa",hYCC,2023-06-12,Interest,104,332.55,4575.2
"Smith, Washington and Luna",VpbI,2024-06-03,Dividend,442,96.76,16167.84
"Mason, Cook and Potter",NHwY,2022-11-18,Sell,408,44.56,59190.83
Jones PLC,rbYv,2023-05-26,Buy,934,401.5,80473.46
"Leach, Burns and Duncan",Uddf,2023-01-16,Interest,697,233.51,50642.93
"Gray, Garcia and Barrett",mldU,2023-08-03,Dividend,82,425.54,25041.8
Thomas PLC,jAEf,2023-03-21,Buy,925,314.65,55430.73
"Hayes, Ellis and Gilmore",LTbJ,2022-11-22,Buy,407,98.59,89833.1
Henderson-Hill,shQG,2023-01-17,Sell,493,75.58,14716.59
Reed Group,VmVA,2023-03-21,Interest,792,229.53,37340.39
Norman and Sons,rbyt,2023-09-19,Sell,60,393.25,91690.94
Morgan-Potter,JAQn,2023-06-25,Buy,15,121.37,8660.38
"Roberts, Cole and Trujillo",tequ,2023-08-26,Dividend,279,64.59,4033.84
"Vasquez, Allen and Hudson",TJyX,2023-12-27,Dividend,27,289.05,66580.01
Baker Ltd,hNva,2023-03-16,Sell,886,477.47,11770.16
Hayes-Clay,szbc,2024-02-03,Buy,3,205.07,48892.84
Jackson-Lane,Icgl,2024-05-06,Interest,417,89.14,13668.97
"Turner, Warner and Raymond",AEbd,2023-12-13,Dividend,44,394.96,53988.92
Pierce-Owens,JHLc,2024-04-10,Dividend,897,93.95,34163.77
Greene LLC,Nozr,2022-10-09,Buy,141,180.42,26452.29
Adams Inc,bUgu,2023-03-12,Dividend,938,258.32,94597.78
Thomas PLC,RjkP,2024-08-17,Dividend,462,70.39,85596.38
Black-Freeman,LuIC,2023-08-25,Buy,230,82.76,94554.89
Calderon Inc,kall,2024-03-25,Interest,48,38.75,19100.52
"Dawson, Neal and Mcdonald",hQMf,2024-07-03,Sell,764,39.7,46329.43
Franco PLC,TrIl,2023-05-06,Dividend,361,413.06,2774.7
"Ortiz, Lopez and Schroeder",ktcm,2024-04-08,Interest,190,125.22,86557.09
Little-Perkins,VKVV,2022-10-08,Sell,711,455.9,86911.99
Berry-Moody,sXAa,2023-08-06,Interest,39,205.8,12856.38
Greene-Harris,jHrs,2023-08-14,Sell,506,123.47,32120.78
Williams-Phillips,jKIU,2024-05-20,Sell,917,185.68,80677.5
Wells Ltd,vzRJ,2024-01-26,Buy,845,277.58,70428.18
Walker LLC,Prbt,2023-03-13,Interest,579,181.01,2736.39
Obrien-Mullins,aJON,2022-11-04,Sell,427,176.59,75153.73
"Blackwell, Wilson and Colon",jRrG,2024-03-08,Buy,465,138.03,97838.67
Phillips-Hicks,nFXX,2023-10-19,Sell,536,127.53,67341.31
"Moore, Cox and Wallace",FcqG,2022-09-24,Sell,200,464.73,83689.55
Cardenas PLC,Wupp,2023-02-07,Dividend,743,45.43,54419.34
Martinez-Welch,HwxT,2023-09-18,Buy,820,6.81,16059.11
"Stone, Woods and Price",YvIh,2024-08-20,Buy,123,12.55,65502.84
"Fitzgerald, Smith and Warner",kqTH,2024-06-05,Buy,742,63.71,89014.64
Mccarty PLC,hfeq,2024-07-05,Sell,133,388.34,31644.65
"Hunter, Baker and Hayes",znAR,2024-08-18,Sell,575,481.99,59785.76
Calderon-Smith,GNZW,2023-06-16,Interest,386,468.97,20246.0
"Morgan, Daugherty and Lopez",QNlL,2024-03-28,Sell,715,324.77,39982.66
Morrison and Sons,lCle,2024-02-04,Buy,547,225.31,64557.37
Walker-Osborn,YzkU,2023-11-08,Sell,553,354.31,2044.15
"Kelly, Liu and West",MbbX,2024-03-29,Buy,76,200.54,17211.52
Castro-White,hpLs,2024-05-20,Buy,922,50.43,34379.18
Anderson LLC,BDhG,2024-07-05,Interest,803,65.78,52615.07
Grant Ltd,bkdT,2024-05-08,Sell,877,309.15,74036.81
"Gray, Cervantes and Rubio",hbKl,2023-05-17,Dividend,601,364.12,50812.01
Scott-Cruz,Kxhv,2023-11-06,Interest,128,491.36,48794.17
Williams PLC,lwWf,2024-04-11,Sell,452,13.61,13164.62
Brown LLC,Gaap,2024-03-09,Sell,29,324.81,29699.78
Garcia-Levy,rSFX,2024-03-28,Sell,188,190.86,41922.36
"Estrada, Delgado and Case",Vomp,2023-04-24,Dividend,13,246.75,57858.74
Gonzalez-Morris,CMFu,2023-04-12,Buy,849,336.03,9628.88
Moody PLC,adbu,2023-05-05,Buy,600,74.36,26179.64
Dean-Bradford,QByD,2024-03-19,Buy,465,93.74,7335.41
Anderson-Lee,MqTZ,2023-06-03,Dividend,367,185.02,60767.23
Stevenson-Hall,Izza,2023-08-01,Buy,25,230.34,13995.62
"Jackson, Forbes and Jones",WBKR,2023-06-14,Sell,684,470.23,93153.48
Chan Ltd,PnCC,2024-03-07,Interest,513,220.2,34443.72
"Gillespie, Phillips and Yates",bavv,2023-10-25,Interest,637,397.85,17427.89
"Johnson, Martinez and Vincent",bVWj,2023-12-24,Interest,298,468.95,27435.1
"Moreno, Green and Williamson",zMOV,2024-03-21,Interest,993,448.02,80271.2
Berry Ltd,ADjm,2024-05-28,Sell,821,459.58,41138.77
Lynch and Sons,WuMO,2022-12-12,Interest,688,75.9,71085.73
Scott-Rice,wUFv,2023-11-20,Buy,487,296.18,16205.07
Ballard-Jones,HCqh,2022-10-24,Sell,888,121.28,95156.56
Martin-Brown,jzzr,2023-12-15,Buy,514,137.55,90999.62
"Underwood, Knight and Orr",fhpL,2023-03-28,Sell,292,12.51,36279.56
"Gomez, Oneal and Brown",nIMA,2022-11-30,Sell,138,107.62,97180.47
Hubbard PLC,DDTS,2024-03-28,Dividend,335,34.98,88070.88
"Grimes, Turner and Ferguson",ojUj,2024-04-07,Buy,229,98.23,73982.91
Jennings Inc,oVVT,2024-09-10,Sell,540,359.75,24396.23
Hernandez Inc,mMlN,2024-07-20,Interest,915,453.07,28822.7
Stephens Inc,DydQ,2023-06-13,Buy,542,278.84,19262.7
Bolton Ltd,xvIX,2023-05-22,Dividend,941,117.31,91452.27
Liu-Bennett,tbmy,2024-08-06,Dividend,291,211.39,71950.58
Carpenter-Alvarez,jYtc,2024-07-30,Buy,682,274.31,13373.78
Burnett-Hurst,OeOT,2024-09-07,Dividend,180,362.37,17493.44
Brown PLC,UhnZ,2024-08-26,Buy,823,273.61,11647.08
Snyder and Sons,rUEA,2023-05-27,Interest,16,124.24,16678.82
"Franklin, Daniel and Gonzalez",Umsj,2022-09-26,Dividend,706,209.11,78663.22
Clark-Short,XGiI,2023-04-25,Sell,592,406.67,48302.13
"Roy, Mueller and Hernandez",hMHy,2024-07-07,Sell,211,350.83,64888.86
"Gonzalez, Mosley and Rios",WnFA,2024-06-25,Interest,573,141.56,34587.64
"Cantrell, Rivera and Murray",uNaW,2023-09-16,Interest,915,398.4,86075.49
Lee-Gregory,fQPR,2023-10-24,Sell,439,354.26,80290.57
Griffin Ltd,tQDU,2023-11-25,Interest,342,238.0,47064.61
Lopez Inc,HKgA,2024-06-18,Sell,118,138.01,35680.87
Martin LLC,fOFM,2024-06-04,Dividend,850,223.87,46317.79
Gonzalez LLC,xlOs,2023-09-18,Buy,533,315.7,21707.69
Norton Group,YJIX,2022-12-26,Dividend,510,290.04,95862.06
"Anderson, Chapman and Jones",GSnV,2024-05-27,Buy,464,37.45,38758.3
Diaz Inc,VyuO,2022-10-20,Dividend,565,323.76,87094.89
Brown Group,XejJ,2022-10-28,Dividend,5,248.9,69477.04
Bryant LLC,qHDd,2022-10-29,Interest,21,164.67,16183.24
"Davis, Washington and Carter",nTPj,2023-04-20,Buy,113,419.26,67611.19
"Mullins, Rogers and Andersen",EpPP,2023-11-10,Sell,855,82.75,6143.02
Henry-Dalton,ZgRK,2024-07-09,Sell,141,223.9,79916.69
"Hicks, Herman and Lucas",Ukxn,2024-05-20,Buy,932,327.53,42077.79
Roy LLC,NArP,2023-11-18,Buy,451,267.51,21957.61
Oneill-Dean,VjQU,2023-11-14,Buy,37,128.34,42024.91
Weaver-Cantrell,rXNF,2023-06-30,Interest,899,487.03,45336.03
"Holland, Norman and Guerra",gBdR,2024-03-23,Dividend,547,182.81,58327.28
Black LLC,mebc,2023-03-06,Interest,298,490.44,18260.56
"Ware, Terrell and Flores",FHXb,2023-09-01,Buy,854,441.28,11620.9
"Huerta, Juarez and Thompson",kYvw,2022-12-17,Sell,364,120.61,37599.89
Butler Inc,VUBs,2022-11-10,Interest,322,215.77,37752.14
"Cervantes, Bryant and Lowe",FLcT,2022-12-20,Buy,431,246.76,67993.77
"Hale, May and Rhodes",ypew,2023-06-20,Dividend,774,393.84,3322.88
Saunders-Contreras,sCug,2024-08-26,Dividend,151,107.0,14918.81
Carr-Donaldson,KtYE,2023-01-30,Interest,789,303.91,14803.4
Vega LLC,fiKR,2023-06-20,Dividend,348,295.54,31400.57
"Richards, Goodman and Blake",egXx,2024-01-29,Buy,388,311.76,87861.54
Stephenson LLC,lrVD,2022-12-08,Dividend,880,114.03,7212.51
Sloan Group,nLvz,2024-07-13,Interest,29,239.46,28952.28
"Diaz, Willis and Yu",fiaz,2024-05-11,Dividend,853,278.38,21529.28
"Galloway, Martin and Choi",JNHT,2023-07-30,Dividend,149,52.45,33528.72
Norman-Ellison,xCsm,2023-05-27,Sell,377,493.39,74815.74
Dyer-Lee,nFup,2022-11-17,Sell,3,483.97,64926.35
"Leonard, Phillips and Hill",VIVT,2023-08-20,Sell,557,471.67,8707.41
Gray and Sons,CWLE,2024-08-25,Interest,192,10.64,75270.88
King-Villegas,GMvC,2024-04-24,Sell,881,294.06,88684.64
Freeman-Myers,Fhaq,2024-05-03,Sell,433,184.96,44636.56
Nolan-Hall,vOxg,2024-03-24,Interest,452,212.97,1098.08
Edwards-Robinson,wCGA,2023-06-17,Dividend,46,155.4,54152.24
"Lopez, Hopkins and Roberts",Dqwc,2023-08-13,Interest,870,488.35,93605.41
Flores-Christensen,iWad,2022-11-27,Buy,491,409.69,64727.77
"Graham, Mora and Henderson",blnc,2023-08-11,Sell,464,143.15,25849.97
"Smith, Hartman and Morales",YSxG,2024-03-19,Buy,979,493.64,97565.54
Mills-Brown,qwvg,2024-03-31,Interest,634,301.87,28134.23
"Golden, Byrd and Mason",uvLf,2022-10-20,Interest,122,99.75,88944.49
Fischer-Woodward,gbqb,2022-10-09,Dividend,614,33.99,3828.01
Rodgers Inc,RouA,2023-04-08,Buy,471,345.57,57916.48
"Reyes, Gillespie and Payne",aSZy,2023-11-27,Interest,917,120.87,32415.07
Brown Ltd,TTKw,2022-11-22,Dividend,221,456.5,57358.76
York-Zavala,doWg,2024-05-17,Interest,256,98.31,73917.85
Davis LLC,YpLJ,2023-08-04,Sell,456,199.08,3891.9
Green-White,PIML,2022-12-23,Buy,13,128.49,14940.5
"Marks, Jones and Wheeler",TpCt,2023-10-21,Interest,747,218.18,8131.08
Anderson and Sons,YAak,2023-09-07,Dividend,363,365.02,52949.88
Noble Inc,iDHK,2022-11-19,Buy,578,230.2,71033.83
"Sweeney, Hurst and Garcia",dWHb,2023-01-21,Interest,327,5.95,41321.58
Montes Inc,CZvh,2023-05-14,Sell,371,457.61,53770.88
Evans PLC,lexd,2024-07-16,Buy,699,341.23,68088.54
Rivera-Prince,TLCI,2023-10-30,Dividend,486,51.09,80949.34
Flores LLC,DmcS,2023-07-04,Interest,292,386.74,1060.09
Brewer and Sons,xbin,2024-01-11,Sell,284,484.49,14738.66
Williams Inc,LLCr,2024-09-13,Buy,280,81.93,33665.7
"Carter, Huber and Brown",juDo,2024-05-08,Buy,735,399.62,93174.46
"Thomas, Jones and Brooks",tajf,2024-01-20,Buy,607,183.29,92256.06
Mckinney-Bryan,szLu,2023-03-06,Dividend,738,91.33,64435.9
Rivers Group,YPFK,2023-04-29,Interest,264,350.39,63633.7
"Brown, Trujillo and Russell",uOuv,2023-11-26,Sell,732,253.47,33688.44
Phelps-Thompson,vnwc,2024-05-14,Dividend,252,260.87,48517.62
"Fox, Pineda and Powell",sxpR,2024-04-06,Dividend,735,153.86,33145.3
Robinson Inc,CzfS,2023-01-27,Interest,327,404.75,80391.45
Cooper-Jones,CPaI,2023-01-04,Interest,160,489.21,24833.43
Gonzalez-Jones,rtjo,2023-04-11,Sell,323,494.68,13132.81
"Young, Simon and Roberts",ADOs,2023-10-18,Sell,729,345.24,75708.04
Peterson-Miller,ZTBc,2023-08-31,Dividend,225,262.21,73953.94
"Harrison, Stevens and Wilcox",iJCd,2024-01-16,Interest,752,275.89,22068.25
Allen Inc,naeH,2024-02-14,Sell,682,245.94,67906.2
Anderson LLC,dAdp,2024-01-25,Sell,812,92.35,70110.41
Ramirez PLC,kyjh,2024-05-22,Dividend,120,396.88,88775.06
"Turner, Manning and Wilkins",aQUz,2024-05-11,Buy,212,106.21,51573.84
"Walker, Rivera and Williams",pSzj,2024-08-02,Buy,373,407.05,53864.67
"Hernandez, Campbell and Austin",OogQ,2024-08-01,Dividend,258,319.2,75879.27
Williams Ltd,KbOa,2023-04-02,Interest,125,56.6,25760.34
Garcia-Wiley,VyLF,2024-02-13,Interest,24,351.42,55741.83
Peterson and Sons,LMPL,2024-01-26,Interest,723,349.04,29584.29
"Brown, Martin and Crawford",FJEX,2023-09-10,Dividend,569,235.19,35458.06
Pierce Group,JoUf,2024-01-09,Dividend,476,107.99,53484.57
"Benson, Goodman and Sawyer",Ilww,2023-11-30,Interest,761,485.06,87033.56
"Green, Young and Harvey",nxzf,2022-12-24,Sell,3,449.57,38495.06
Walters-Madden,Dzfh,2022-12-21,Dividend,495,44.54,49833.1
Walters and Sons,eNzH,2023-08-27,Sell,658,408.04,71747.25
"Walker, West and Mccormick",vYvQ,2024-03-11,Buy,646,326.3,55170.56
Lewis-Black,gGli,2024-08-23,Interest,626,42.03,51159.51
"Smith, Mcdaniel and Clarke",NJkY,2023-11-26,Dividend,276,49.65,53158.87
"Mitchell, Clark and Meyers",pCcN,2023-05-07,Dividend,290,46.81,99890.1
Riley LLC,Valc,2024-07-18,Sell,927,333.37,97463.98
Morgan-Chapman,jJDV,2023-10-04,Buy,874,84.38,70786.61
White-Lee,YEiN,2024-05-14,Sell,470,205.02,30423.85
Richards-Nelson,ExWW,2022-11-24,Sell,814,405.34,73974.63
Marshall-Lawrence,HXbn,2023-06-14,Sell,818,472.12,52405.02
"Yu, Gonzales and Petty",CAOD,2023-01-29,Sell,500,258.82,10785.67
Durham-Young,TeoS,2024-02-25,Dividend,904,404.08,89835.28
Cole Inc,goxI,2023-12-11,Buy,992,41.3,85807.27
"Oliver, Wallace and Martinez",ZIVr,2023-10-02,Buy,186,20.57,46888.65
White-Blackburn,qqRr,2023-10-04,Sell,24,218.59,33160.67
Pacheco-Williams,wDau,2023-03-30,Sell,44,206.45,60037.63
"Ellison, Valdez and Hamilton",TGsc,2023-03-11,Dividend,588,390.74,50144.23
"Acosta, Garcia and Mason",lzKz,2024-06-16,Buy,723,147.57,82591.65
Baird-Baker,rhMX,2023-12-02,Sell,654,308.2,18136.82
"Knapp, Jones and Lam",ADnR,2024-06-17,Buy,453,307.98,48743.35
"Thomas, Miller and Beck",lyMl,2022-11-17,Sell,289,70.25,15407.79
Hinton Ltd,XqeB,2024-07-05,Dividend,550,394.87,73549.13
"Green, Peterson and Jackson",KDTC,2023-09-29,Sell,545,225.95,19817.0
Gutierrez-Fletcher,achj,2023-05-01,Sell,429,145.74,77370.17
Perry Ltd,peAp,2022-09-21,Buy,853,223.94,62951.15
"Scott, Rodriguez and Johnson",aXfk,2023-09-24,Dividend,587,301.21,58664.52
Williams PLC,CwMO,2022-10-29,Buy,133,156.2,58700.58
Watkins Group,Nuat,2024-02-23,Buy,291,6.71,5286.91
Cole-Hammond,vLOC,2024-06-16,Sell,134,498.24,30047.6
"Robbins, Ross and Baker",qoyH,2022-11-29,Interest,144,338.17,1123.67
"Spears, Robertson and Gardner",DTPK,2024-01-18,Buy,916,63.28,42344.26
"Wilson, Bishop and Gomez",FcKM,2023-09-10,Sell,406,84.71,86213.17
Howard Ltd,IwvU,2022-10-23,Interest,185,318.43,18420.36
Buchanan PLC,tguS,2023-05-01,Dividend,194,56.03,62094.97
"Wood, Sutton and Thomas",KlzD,2023-08-10,Interest,945,177.71,62525.59
Matthews PLC,kWgc,2024-06-22,Dividend,141,248.95,66575.92
"Farmer, Cervantes and Benjamin",IOdP,2023-03-31,Dividend,759,57.88,91374.62
Davis-Marquez,XFpf,2024-03-02,Buy,773,358.05,62153.94
Reid-Bishop,kxNV,2024-06-22,Interest,991,21.71,70037.61
Mcgrath-Scott,CAIQ,2024-07-23,Dividend,861,240.64,73359.21
Moore-Lopez,fhXp,2022-09-27,Buy,315,335.25,24262.49
Bauer Inc,yNyx,2024-08-23,Dividend,1,161.4,31584.59
Hunter PLC,OOLk,2024-02-16,Interest,182,148.55,6320.55
Henry and Sons,pNjK,2024-09-13,Buy,975,198.11,18735.6
Hughes Group,syvv,2024-08-24,Interest,446,355.25,90128.43
Meadows-Price,KpVe,2022-09-26,Buy,916,361.23,15711.91
Brown-Adams,hNCH,2024-06-12,Interest,221,253.17,91505.83
Harris PLC,BhNi,2022-10-19,Buy,915,49.65,82187.6
Collier-Myers,LYtI,2022-11-01,Dividend,380,320.35,98328.48
Burton-Martinez,JSjm,2024-05-22,Interest,480,399.23,5260.62
"Lane, Wilson and Larson",YKEk,2023-11-26,Sell,169,159.65,91820.85
Michael Group,TrGr,2023-03-16,Dividend,871,419.19,73979.74
Ballard Group,QZlX,2024-06-05,Interest,245,88.97,49111.08
Anderson Group,Hnqb,2023-01-02,Buy,71,288.0,17618.7
"Duffy, Barker and Johnson",MmJD,2023-04-21,Buy,960,179.26,39783.46
"Washington, Watkins and Sims",SPFy,2023-10-05,Buy,30,490.02,79453.43
Gay-Adams,jAAn,2023-09-21,Buy,751,81.25,7243.14
Douglas-Keller,fcMW,2023-12-24,Dividend,485,429.04,71153.41
Ball-Hanna,jOZO,2022-11-16,Buy,614,199.98,23167.7
Harrison-Peters,mzrp,2023-09-10,Sell,811,333.49,62629.38
Davis LLC,lvXZ,2023-03-02,Interest,628,409.42,75129.21
"Dunn, Christensen and Gonzales",biRj,2023-03-25,Interest,419,380.73,66875.76
"Snyder, Lucas and Velazquez",SwdV,2024-03-24,Interest,77,125.61,50749.01
"Adams, Ross and Lee",CTze,2022-11-02,Interest,407,485.51,73847.97
Miranda-Williams,TgoD,2023-01-27,Dividend,417,413.6,47041.72
"Fisher, Booth and Clements",pLHS,2022-09-24,Buy,949,177.77,35088.89
"Curry, Gardner and Clark",duyT,2024-04-21,Interest,431,231.95,21581.14
Sweeney-Herrera,ipsb,2024-07-19,Buy,954,305.71,56625.78
"Riley, Thompson and Fuentes",mcEh,2023-08-26,Interest,473,333.09,32752.06
Mcdonald Ltd,NmGk,2023-10-07,Buy,363,424.34,97967.22
Duran-Tate,ZCVl,2023-11-20,Buy,400,445.17,22323.33
